city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Frías,Frias,-28.6496,-65.15,Argentina,AR,ARG,Santiago del Estero,minor,13594.0,1032077058
Puerto San Martín,Puerto San Martin,-32.7167,-60.7333,Argentina,AR,ARG,Santa Fe,,13243.0,1032928261
Rosario del Tala,Rosario del Tala,-32.3008,-59.1389,Argentina,AR,ARG,Entre Ríos,minor,12801.0,1032485062
San Salvador,San Salvador,-31.6167,-58.5,Argentina,AR,ARG,Entre Ríos,minor,12733.0,1032064102
Junín de los Andes,Junin de los Andes,-39.9506,-71.0694,Argentina,AR,ARG,Neuquén,minor,12621.0,1032993092
Río Colorado,Rio Colorado,-38.9908,-64.0958,Argentina,AR,ARG,La Pampa,,11733.0,1032592194
Monte Quemado,Monte Quemado,-25.8072,-62.8278,Argentina,AR,ARG,Santiago del Estero,minor,11387.0,1032834102
Capilla del Monte,Capilla del Monte,-30.85,-64.5167,Argentina,AR,ARG,Córdoba,,11181.0,1032258122
Villa La Angostura,Villa La Angostura,-40.7616,-71.6448,Argentina,AR,ARG,Neuquén,minor,11063.0,1032303492
Yacimiento Río Turbio,Yacimiento Rio Turbio,-51.5361,-72.3361,Argentina,AR,ARG,Santa Cruz,,8814.0,1032704902
Jesús Nazareno,Jesus Nazareno,-32.9111,-68.79,Argentina,AR,ARG,Mendoza,,6875.0,1032795161
San Julián,San Julian,-49.306999999999995,-67.7298,Argentina,AR,ARG,Santa Cruz,minor,7894.0,1032464702
Carhué,Carhue,-37.1667,-62.7333,Argentina,AR,ARG,Buenos Aires,minor,7190.0,1032595269
General Fernández Oro,General Fernandez Oro,-38.95,-67.9167,Argentina,AR,ARG,Río Negro,,6772.0,1032534261
Comandante Luis Piedra Buena,Comandante Luis Piedra Buena,-49.983000000000004,-68.91,Argentina,AR,ARG,Santa Cruz,,6405.0,1032946044
Ingeniero Jacobacci,Ingeniero Jacobacci,-41.3,-69.5833,Argentina,AR,ARG,Río Negro,,6261.0,1032402027
Ingeniero Luis A. Huergo,Ingeniero Luis A. Huergo,-39.0833,-67.2333,Argentina,AR,ARG,Río Negro,,6227.0,1032873580
Veintiocho de Noviembre,Veintiocho de Noviembre,-51.583999999999996,-72.2143,Argentina,AR,ARG,Santa Cruz,,6145.0,1032715340
Chepes,Chepes,-31.35,-66.6,Argentina,AR,ARG,La Rioja,minor,6020.0,1032137147
General Conesa,General Conesa,-40.1,-64.4333,Argentina,AR,ARG,Río Negro,minor,5484.0,1032658385
San Antonio de los Cobres,San Antonio de los Cobres,-24.2256,-66.3192,Argentina,AR,ARG,Salta,minor,5482.0,1032191344
Perito Moreno,Perito Moreno,-46.59,-70.9297,Argentina,AR,ARG,Santa Cruz,minor,4617.0,1032891854
Gobernador Gregores,Gobernador Gregores,-48.7509,-70.2485,Argentina,AR,ARG,Santa Cruz,minor,4497.0,1032720049
Pampa del Infierno,Pampa del Infierno,-26.5167,-61.1667,Argentina,AR,ARG,Chaco,minor,2921.0,1032896072
Chumbicha,Chumbicha,-28.8666,-66.2333,Argentina,AR,ARG,Catamarca,minor,2572.0,1032994295
Trancas,Trancas,-26.2308,-65.2781,Argentina,AR,ARG,Tucumán,minor,1599.0,1032418123
Rodeo,Rodeo,-30.2156,-69.14,Argentina,AR,ARG,San Juan,minor,701.0,1032937217
Pedro Luro,Pedro Luro,-39.5,-62.6833,Argentina,AR,ARG,Buenos Aires,,9494.0,1032549913
Darregueira,Darregueira,-37.6996,-63.1666,Argentina,AR,ARG,Buenos Aires,,3412.0,1032968004
Villalonga,Villalonga,-39.8829,-62.5833,Argentina,AR,ARG,Buenos Aires,,2838.0,1032282782
Uspallata,Uspallata,-32.5931,-69.346,Argentina,AR,ARG,Mendoza,,2390.0,1032547934
Los Blancos,Los Blancos,-23.5996,-62.6,Argentina,AR,ARG,Salta,,1145.0,1032336288
