gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
32,Gobierno local,MULTIPOINT(-64.7268236264092 -27.4622344030952),Comisión Sotelo,Comisión,Sotelo,866585,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
33,Gobierno local,MULTIPOINT(-61.838315907653 -28.4522996677954),Comisión La Nena - La Simona,Comisión,La Nena - La Simona,866459,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
34,Gobierno local,MULTIPOINT(-64.1359050131059 -27.5077466178121),Comisión Negra Muerta,Comisión,Negra Muerta,866382,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
35,Gobierno local,MULTIPOINT(-63.7774962798294 -26.2163641131133),Comisión Santo Domingo,Comisión,Santo Domingo,866555,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
36,Gobierno local,MULTIPOINT(-63.1817841208405 -28.759035955345),Comisión La Paliza,Comisión,La Paliza,866599,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
37,Gobierno local,MULTIPOINT(-64.680684650776 -27.2000875296158),Comisión Tres Cruces,Comisión,Tres Cruces,866487,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
38,Gobierno local,MULTIPOINT(-64.0988944332315 -28.1693983525519),Comisión Sumamao,Comisión,Sumamao,866620,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
39,Gobierno local,MULTIPOINT(-63.9145468190804 -25.8532074927315),Comisión Ahí Veremos,Comisión,Ahí Veremos,866528,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
40,Gobierno local,MULTIPOINT(-64.5878949744734 -27.702943521826),Comisión Sol de Mayo,Comisión,Sol de Mayo,866396,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
41,Gobierno local,MULTIPOINT(-64.488083592184 -28.1464520246412),Comisión San Benito,Comisión,San Benito,866391,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
42,Gobierno local,MULTIPOINT(-63.0399087538859 -27.2101126070112),Comisión Amamá,Comisión,Amamá,866507,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
43,Gobierno local,MULTIPOINT(-63.4724205670555 -27.4636942105193),Comisión Vaca Huañuna,Comisión,Vaca Huañuna,866438,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
44,Gobierno local,MULTIPOINT(-62.9991407714294 -28.2776490079953),Comisión Melero,Comisión,Melero,866501,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
45,Gobierno local,MULTIPOINT(-64.7083564034252 -27.496828826589),Comisión Los Ovejeros,Comisión,Los Ovejeros,866579,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
46,Gobierno local,MULTIPOINT(-64.3312874580497 -27.7146470174458),Comisión El Deán,Comisión,El Deán,866388,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
47,Gobierno local,MULTIPOINT(-63.0708840752399 -27.0848928822007),Comisión Libertad,Comisión,Libertad,866515,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
48,Gobierno local,MULTIPOINT(-64.378175590531 -27.2901647705876),Comisión Abra Grande,Comisión,Abra Grande,866342,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
49,Gobierno local,MULTIPOINT(-63.1161943166144 -27.8044625206288),Comisión San Antonio - Roldán,Comisión,San Antonio - Roldán,866505,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
50,Gobierno local,MULTIPOINT(-64.5820256732462 -27.4883950428969),Comisión El Sauzal,Comisión,El Sauzal,866576,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
51,Gobierno local,MULTIPOINT(-64.5323423866918 -27.8548296984318),Comisión Remes,Comisión,Remes,866390,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
52,Gobierno local,MULTIPOINT(-64.7829852998317 -28.1276725606401),Comisión Santa Catalina,Comisión,Santa Catalina,866474,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
53,Gobierno local,MULTIPOINT(-64.0202258298581 -28.3024445605679),Comisión Villa Nueva,Comisión,Villa Nueva,866613,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
54,Gobierno local,MULTIPOINT(-64.1956914759808 -27.8914989469188),Comisión Vuelta de la Barranca,Comisión,Vuelta de la Barranca,866403,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
55,Gobierno local,MULTIPOINT(-63.9759897387354 -26.3725618140764),Comisión Campo Grande,Comisión,Campo Grande,866529,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
56,Gobierno local,MULTIPOINT(-64.2540170171716 -28.5718474044341),Comisión Sauce Solo,Comisión,Sauce Solo,866186,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
57,Gobierno local,MULTIPOINT(-64.8639860395241 -27.6399445582947),Comisión Amicha,Comisión,Amicha,866565,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
58,Gobierno local,MULTIPOINT(-63.989562159566 -27.7626677516154),Comisión Villa Hipólita,Comisión,Villa Hipólita,866594,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
59,Gobierno local,MULTIPOINT(-64.1848762542357 -27.8057041570212),Comisión Los Romanos - Santo Domingo,Comisión,Los Romanos - Santo Domingo,866590,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
60,Gobierno local,MULTIPOINT(-64.1702752931702 -26.465266234649),Comisión Villa Mercedes,Comisión,Villa Mercedes,866557,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
61,Gobierno local,MULTIPOINT(-63.9811699128612 -28.4076839944208),Comisión Tío Pozo,Comisión,Tío Pozo,866187,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
62,Gobierno local,MULTIPOINT(-64.7642392375507 -27.5036231407952),Comisión Lescano,Comisión,Lescano,866578,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
63,Gobierno local,MULTIPOINT(-63.4666254814807 -25.7293027296372),Comisión Ahí Veremos,Comisión,Ahí Veremos,866405,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
64,Gobierno local,MULTIPOINT(-64.9642324445716 -27.6593969894794),Comisión  Acos - Pozo de Arbolito,Comisión,Acos - Pozo de Arbolito,866564,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
65,Gobierno local,MULTIPOINT(-64.2189999995503 -27.9490888004078),Comisión Santa María,Comisión,Santa María,866394,Comisión Municipal,CMB,Santiago del Estero,86,BAHRA,IGN
66,Gobierno local,MULTIPOINT(-65.8727712349045 -27.9286703642459),Municipio Los Varela,Municipio,Los Varela,100028,Municipio,M3,Catamarca,10,BAHRA,IGN
67,Gobierno local,MULTIPOINT(-65.7938676296873 -28.1563452866056),Municipio La Puerta,Municipio,La Puerta,100014,Municipio,M3,Catamarca,10,BAHRA,IGN
