gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
547,Gobierno local,MULTIPOINT(-65.6677302492516 -27.6554246480291),Comuna Yánima y El Corralito,Comuna,Yánima y El Corralito,908266,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
548,Gobierno local,MULTIPOINT(-65.6270423082559 -27.7524222800641),Comuna San Ignacio,Comuna,San Ignacio,908252,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
549,Gobierno local,MULTIPOINT(-65.0886488373739 -27.1591750216099),Comuna Agua Dulce y La Soledad,Comuna,Agua Dulce y La Soledad,908273,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
550,Gobierno local,MULTIPOINT(-64.9224429383909 -27.2009158313005),Comuna El Mojón,Comuna,El Mojón,908280,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
551,Gobierno local,MULTIPOINT(-65.1320733020412 -27.0335980285262),Comuna Esquina y Mancopa,Comuna,Esquina y Mancopa,908287,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
552,Gobierno local,MULTIPOINT(-65.2288744421018 -27.2751267255179),Comuna Los Gómez,Comuna,Los Gómez,908308,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
553,Gobierno local,MULTIPOINT(-65.2792801639484 -26.9781551094707),Comuna Las Talas,Comuna,Las Talas,908301,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
554,Gobierno local,MULTIPOINT(-65.5573433747969 -27.1794832746334),Comuna El Cercado,Comuna,El Cercado,908399,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
555,Gobierno local,MULTIPOINT(-65.6215732952713 -27.0960992541772),Comuna Los Sosa,Comuna,Los Sosa,908413,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
556,Gobierno local,MULTIPOINT(-65.49009095973 -27.2690325065449),Comuna Amberes,Comuna,Amberes,908385,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
557,Gobierno local,MULTIPOINT(-65.769223036414 -27.3819818426878),Comuna Monte Bello,Comuna,Monte Bello,908476,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
558,Gobierno local,MULTIPOINT(-65.593767183009 -27.5068897302768),Comuna El Polear y Los Córdoba,Comuna,El Polear y Los Córdoba,908462,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
559,Gobierno local,MULTIPOINT(-65.4280756296865 -27.3721162240844),Comuna San Pedro y San Antonio,Comuna,San Pedro y San Antonio,908539,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
560,Gobierno local,MULTIPOINT(-65.357322521717 -27.2254143539892),Comuna Manuela Pedraza,Comuna,Manuela Pedraza,908511,Comuna Rural,CR1,Tucumán,90,BAHRA,IGN
561,Gobierno local,MULTIPOINT(-65.4507788483651 -27.433181087637),Comuna Ciudacita,Comuna,Ciudacita,908504,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
562,Gobierno local,MULTIPOINT(-65.3001696820851 -27.3172319090253),Comuna Pampa Mayo,Comuna,Pampa Mayo,908525,Comuna Rural,CR1,Tucumán,90,BAHRA,IGN
563,Gobierno local,MULTIPOINT(-65.3929677121901 -27.2750611478536),Comuna Buena Vista,Comuna,Buena Vista,908497,Comuna Rural,CR1,Tucumán,90,BAHRA,IGN
564,Gobierno local,MULTIPOINT(-65.3904370568247 -27.2433914644445),Comuna Yerba Buena,Comuna,Yerba Buena,908560,Comuna Rural,CR1,Tucumán,90,BAHRA,IGN
565,Gobierno local,MULTIPOINT(-65.500644926622 -26.5854172122345),Comuna Anca Juli,Comuna,Anca Juli,908595,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
566,Gobierno local,MULTIPOINT(-65.3825316635054 -26.6347812214761),Comuna Raco,Comuna,Raco,908588,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
567,Gobierno local,MULTIPOINT(-65.2512783771953 -26.7112007777936),Comuna La Esperanza,Comuna,La Esperanza,908609,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
568,Gobierno local,MULTIPOINT(-65.2788770626263 -26.5939241620704),Comuna Tapia,Comuna,Tapia,908637,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
569,Gobierno local,MULTIPOINT(-65.3964647718317 -26.7893004898257),Comuna San Javier,Comuna,San Javier,908651,Comuna Rural,CR3,Tucumán,90,BAHRA,IGN
570,Gobierno local,MULTIPOINT(-55.7059644037342 -27.6294161222562),Municipio Fachinal,Municipio,Fachinal,540105,Municipio,M2,Misiones,54,BAHRA,IGN
571,Gobierno local,MULTIPOINT(-69.460847730938 -38.3374932925814),Comisión Los Chihuidos,Comisión,Los Chihuidos,585021,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
572,Gobierno local,MULTIPOINT(-70.9353350074046 -39.6043933211948),Comisión Pilo Lil,Comisión,Pilo Lil,585028,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
573,Gobierno local,MULTIPOINT(-69.1056743734735 -38.6016623303522),Comisión Sauzal Bonito,Comisión,Sauzal Bonito,585042,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
574,Gobierno local,MULTIPOINT(-70.2223096078021 -36.4858280845984),Comisión Coyuco - Cochico,Comisión,Coyuco - Cochico,585049,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
575,Gobierno local,MULTIPOINT(-70.7656761803115 -37.268991106954),Comisión Guañacos,Comisión,Guañacos,585077,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
576,Gobierno local,MULTIPOINT(-69.7127564857232 -38.6302479272999),Comisión Covunco Abajo,Comisión,Covunco Abajo,585133,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
577,Gobierno local,MULTIPOINT(-70.0610526888305 -39.2128351456254),Comisión Villa Puente Picún Leufú,Comisión,Villa Puente Picún Leufú,585154,Comisión de Fomento,CF,Neuquén,58,BAHRA,IGN
578,Gobierno local,MULTIPOINT(-63.562711739655 -40.6083527706638),Comisión Cubanea,Comisión,Cubanea,625007,Comisión de Fomento,CF,Río Negro,62,BAHRA,IGN
579,Gobierno local,MULTIPOINT(-70.6253658567488 -40.6790388836375),Comisión Paso Flores,Comisión,Paso Flores,625035,Comisión de Fomento,CF,Río Negro,62,BAHRA,IGN
580,Gobierno local,MULTIPOINT(-66.6414736398965 -40.9604071479715),Comisión Chipauquil,Comisión,Chipauquil,625175,Comisión de Fomento,CF,Río Negro,62,BAHRA,IGN
581,Gobierno local,MULTIPOINT(-66.9055078486083 -27.2831941829651),Municipio San Fernando,Municipio,San Fernando,100112,Municipio,M3,Catamarca,10,BAHRA,IGN
582,Gobierno local,MULTIPOINT(-66.4934870927551 -22.340338271394),Comisión Cusi Cusi,Comisión,Cusi Cusi,386140,Comisión Municipal,CM,Jujuy,38,BAHRA,IGN
583,Gobierno local,MULTIPOINT(-70.721587283926 -41.1226394941173),Municipio Pilcaniyeu,Municipio,Pilcaniyeu,620224,Municipio,MU,Río Negro,62,BAHRA,IGN
584,Gobierno local,MULTIPOINT(-62.4417695531224 -29.3491784384341),Comisión Malbrán,Comisión,Malbrán,866007,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
585,Gobierno local,MULTIPOINT(-62.267139677554 -29.5347106971409),Comisión Argentina,Comisión,Argentina,866308,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
586,Gobierno local,MULTIPOINT(-62.8001028062994 -28.948138844532),Comisión Casares,Comisión,Casares,866315,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
587,Gobierno local,MULTIPOINT(-62.6545484675377 -29.1417538068926),Municipio Pinto,Municipio,Pinto,860007,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
588,Gobierno local,MULTIPOINT(-61.8150443651053 -26.6754072540415),Comisión Sachajoy,Comisión,Sachajoy,866014,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
589,Gobierno local,MULTIPOINT(-62.7207302289169 -26.7252649470196),Comisión Donadeu,Comisión,Donadeu,866322,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
590,Gobierno local,MULTIPOINT(-62.8470501510436 -26.5839525412767),Municipio Campo Gallo,Municipio,Campo Gallo,860014,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
591,Gobierno local,MULTIPOINT(-63.5592104496025 -26.6905981379936),Comisión Santos Lugares,Comisión,Santos Lugares,866329,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
592,Gobierno local,MULTIPOINT(-63.8173285608643 -28.4964440451565),Municipio Villa Atamisqui,Municipio,Villa Atamisqui,860021,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
593,Gobierno local,MULTIPOINT(-63.9374460737773 -28.4937289046651),Comisión Estación Atamisqui,Comisión,Estación Atamisqui,866021,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
594,Gobierno local,MULTIPOINT(-63.7855074433138 -28.65234134108),Comisión Medellín,Comisión,Medellín,866028,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
595,Gobierno local,MULTIPOINT(-63.3393297103977 -28.3363516115376),Comisión Lugones,Comisión,Lugones,866049,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
596,Gobierno local,MULTIPOINT(-63.0662378187203 -28.4829143816933),Comisión Herrera,Comisión,Herrera,866035,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
597,Gobierno local,MULTIPOINT(-63.2760508184904 -28.4826006846738),Comisión Villa Mailín,Comisión,Villa Mailín,866336,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
598,Gobierno local,MULTIPOINT(-62.8430627387543 -28.8146898751376),Comisión Real Sayana,Comisión,Real Sayana,866056,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
599,Gobierno local,MULTIPOINT(-62.9504181397853 -28.6040232226935),Municipio Colonia Dora,Municipio,Colonia Dora,860028,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
600,Gobierno local,MULTIPOINT(-62.8811801115729 -28.6814772835497),Comisión Icaño,Comisión,Icaño,866042,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
601,Gobierno local,MULTIPOINT(-64.023154750891 -27.708497219471),Comisión Cañada Escobar,Comisión,Cañada Escobar,866357,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
602,Gobierno local,MULTIPOINT(-64.3549548147129 -27.6526031285315),Comisión Los Quiroga,Comisión,Los Quiroga,866070,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
603,Gobierno local,MULTIPOINT(-64.2306649547239 -27.495940281119),Comisión La Aurora,Comisión,La Aurora,866371,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
604,Gobierno local,MULTIPOINT(-64.1352255770987 -27.5805642850137),Municipio Clodomira,Municipio,Clodomira,860035,Municipio,M2,Santiago del Estero,86,BAHRA,IGN
605,Gobierno local,MULTIPOINT(-64.4993208999396 -27.4120561656595),Comisión Ardiles,Comisión,Ardiles,866350,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
606,Gobierno local,MULTIPOINT(-64.2546011502229 -27.6229194665601),Comisión Antajé,Comisión,Antajé,866343,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
607,Gobierno local,MULTIPOINT(-64.4198407402579 -27.5069327538434),Comisión Chaupi Pozo,Comisión,Chaupi Pozo,866364,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
608,Gobierno local,MULTIPOINT(-64.2883429930346 -27.6984199499207),Comisión San Ramón - La Dársena,Comisión,San Ramón - La Dársena,866378,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
609,Gobierno local,MULTIPOINT(-64.2433604448286 -27.7306502518076),Municipio La Banda,Municipio,La Banda,860042,Municipio,M1,Santiago del Estero,86,BAHRA,IGN
610,Gobierno local,MULTIPOINT(-64.1931219555138 -27.6538108658787),Comisión Estación Simbolar,Comisión,Estación Simbolar,866063,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
611,Gobierno local,MULTIPOINT(-62.1265995232494 -28.9883385417902),Comisión Guardia Escolta,Comisión,Guardia Escolta,866084,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
612,Gobierno local,MULTIPOINT(-61.8575926544774 -28.8642746589483),Comisión Cuatro Bocas,Comisión,Cuatro Bocas,866385,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
613,Gobierno local,MULTIPOINT(-62.2690252707995 -28.8880917338464),Municipio Bandera,Municipio,Bandera,860049,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
614,Gobierno local,MULTIPOINT(-61.9344762645679 -29.1274713883938),Comisión Fortín Inca,Comisión,Fortín Inca,866077,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
615,Gobierno local,MULTIPOINT(-64.164005457286 -27.9462150518831),Comisión San Pedro,Comisión,San Pedro,866392,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
616,Gobierno local,MULTIPOINT(-64.2431970946702 -27.8709553098396),Comisión Villa Zanjón,Comisión,Villa Zanjón,866399,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
617,Gobierno local,MULTIPOINT(-64.2596680664281 -27.7876844735596),Municipio Santiago del Estero,Municipio,Santiago del Estero,860056,Municipio,M1,Santiago del Estero,86,BAHRA,IGN
618,Gobierno local,MULTIPOINT(-62.0643652172809 -26.1316795057046),Comisión Los Pirpintos,Comisión,Los Pirpintos,866091,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
619,Gobierno local,MULTIPOINT(-63.7040382512643 -26.1192103884486),Comisión San José del Boquerón,Comisión,San José del Boquerón,866413,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
620,Gobierno local,MULTIPOINT(-61.8364741212836 -26.2301822790889),Municipio Pampa de los Guanacos,Municipio,Pampa de los Guanacos,860070,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
621,Gobierno local,MULTIPOINT(-62.8301319518281 -25.8035695940615),Municipio Monte Quemado,Municipio,Monte Quemado,860063,Municipio,M2,Santiago del Estero,86,BAHRA,IGN
622,Gobierno local,MULTIPOINT(-62.3341733981837 -26.0158842091889),Comisión El Caburé,Comisión,El Caburé,866406,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
623,Gobierno local,MULTIPOINT(-65.0962494324653 -28.4037546108866),Comisión Tapso,Comisión,Tapso,866112,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
624,Gobierno local,MULTIPOINT(-64.5305517168882 -28.375631993022),Comisión Laprida,Comisión,Laprida,866105,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
625,Gobierno local,MULTIPOINT(-65.1287283519318 -28.6375441857156),Municipio Frías,Municipio,Frías,860077,Municipio,M1,Santiago del Estero,86,BAHRA,IGN
626,Gobierno local,MULTIPOINT(-64.794671997015 -28.3697259940593),Comisión Villa La Punta,Comisión,Villa La Punta,866119,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
627,Gobierno local,MULTIPOINT(-64.8562843768225 -28.4961034269315),Comisión Choya,Comisión,Choya,866098,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
628,Gobierno local,MULTIPOINT(-63.5131819107166 -27.2732906813198),Comisión Bandera Bajada,Comisión,Bandera Bajada,866126,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
629,Gobierno local,MULTIPOINT(-63.4881547746231 -27.3826789009105),Comisión La Invernada,Comisión,La Invernada,866434,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
630,Gobierno local,MULTIPOINT(-63.7725542120073 -27.7095088992163),Comisión La Cañada,Comisión,La Cañada,866133,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
631,Gobierno local,MULTIPOINT(-63.3005767776961 -27.6179076140451),Comisión Colonia San Juan,Comisión,Colonia San Juan,866427,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
632,Gobierno local,MULTIPOINT(-63.5065630632348 -27.7212279279265),Comisión Villa Figueroa,Comisión,Villa Figueroa,866441,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
633,Gobierno local,MULTIPOINT(-62.1102401744445 -28.4629264339077),Municipio Los Juríes,Municipio,Los Juríes,860091,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
634,Gobierno local,MULTIPOINT(-62.4507013858602 -28.74761471105),Comisión Averías,Comisión,Averías,866448,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
635,Gobierno local,MULTIPOINT(-62.6069180697131 -28.6265382897103),Comisión Tacañitas,Comisión,Tacañitas,866455,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
636,Gobierno local,MULTIPOINT(-62.1826749130168 -28.6005406924989),Comisión Tomás Young,Comisión,Tomás Young,866140,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
637,Gobierno local,MULTIPOINT(-62.8335424679105 -28.4602033506041),Municipio Añatuya,Municipio,Añatuya,860084,Municipio,M1,Santiago del Estero,86,BAHRA,IGN
638,Gobierno local,MULTIPOINT(-65.10766564955 -28.1945110969095),Comisión Lavalle,Comisión,Lavalle,866147,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
639,Gobierno local,MULTIPOINT(-65.1684961533747 -27.9558969299993),Municipio San Pedro de Guasayán,Municipio,San Pedro de Guasayán,860098,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
640,Gobierno local,MULTIPOINT(-64.6102809492064 -27.29663054986),Comisión Gramilla,Comisión,Gramilla,866168,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
641,Gobierno local,MULTIPOINT(-64.7003027145985 -27.2257680213771),Comisión El Charco,Comisión,El Charco,866161,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
642,Gobierno local,MULTIPOINT(-64.3963648825332 -26.7240419068085),Comisión El Bobadal,Comisión,El Bobadal,866154,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
643,Gobierno local,MULTIPOINT(-64.6028744745773 -26.7706923232921),Comisión El Arenal,Comisión,El Arenal,866483,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
644,Gobierno local,MULTIPOINT(-64.4907628146522 -27.1670653566808),Municipio Pozo Hondo,Municipio,Pozo Hondo,860105,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
645,Gobierno local,MULTIPOINT(-63.4301522033614 -27.932845713259),Municipio Suncho Corral,Municipio,Suncho Corral,860112,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
646,Gobierno local,MULTIPOINT(-62.6089381970401 -27.9612197851649),Comisión Vilelas,Comisión,Vilelas,866182,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
647,Gobierno local,MULTIPOINT(-61.8020755656348 -28.2283768707959),Comisión El Cuadrado,Comisión,El Cuadrado,866497,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
648,Gobierno local,MULTIPOINT(-62.1773572865095 -27.9145343508795),Comisión El Colorado,Comisión,El Colorado,866490,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
649,Gobierno local,MULTIPOINT(-63.1950712506377 -28.1104139122722),Comisión Matará,Comisión,Matará,866175,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
650,Gobierno local,MULTIPOINT(-64.1841392858993 -28.3009863404472),Municipio Loreto,Municipio,Loreto,860119,Municipio,M2,Santiago del Estero,86,BAHRA,IGN
651,Gobierno local,MULTIPOINT(-62.7904039282986 -29.4136229677258),Comisión Villa Unión,Comisión,Villa Unión,866189,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
652,Gobierno local,MULTIPOINT(-62.2251929186182 -27.3278150049585),Comisión Otumpa,Comisión,Otumpa,866518,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
653,Gobierno local,MULTIPOINT(-62.9305196367718 -26.8400036660363),Comisión Lilo Viejo - Patay,Comisión,Lilo Viejo - Patay,866525,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
654,Gobierno local,MULTIPOINT(-62.9179656621855 -27.4657166527013),Comisión Las Tinajas,Comisión,Las Tinajas,866511,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
655,Gobierno local,MULTIPOINT(-62.5850420168755 -27.3189012099228),Comisión Weisburd,Comisión,Weisburd,866196,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
656,Gobierno local,MULTIPOINT(-62.4173701977764 -27.6446862481718),Municipio Quimilí,Municipio,Quimilí,860126,Municipio,M2,Santiago del Estero,86,BAHRA,IGN
657,Gobierno local,MULTIPOINT(-62.7064053543236 -27.026289875877),Municipio Tintina,Municipio,Tintina,860133,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
658,Gobierno local,MULTIPOINT(-63.6949683698943 -29.5028073842533),Municipio Villa Ojo de Agua,Municipio,Villa Ojo de Agua,860140,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
659,Gobierno local,MULTIPOINT(-63.4570787840586 -29.5653281971386),Comisión Sol de Julio,Comisión,Sol de Julio,866203,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
660,Gobierno local,MULTIPOINT(-64.5050512756958 -26.3933184951524),Comisión Rapelli,Comisión,Rapelli,866553,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
661,Gobierno local,MULTIPOINT(-64.2400175505695 -26.2001853580678),Municipio Nueva Esperanza,Municipio,Nueva Esperanza,860147,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
662,Gobierno local,MULTIPOINT(-64.3370611028876 -26.4098092600892),Comisión Pozo Betbeder,Comisión,Pozo Betbeder,866539,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
663,Gobierno local,MULTIPOINT(-64.0058966753912 -26.6769144863144),Comisión Las Delicias,Comisión,Las Delicias,866532,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
664,Gobierno local,MULTIPOINT(-64.3091543987564 -26.0927392900861),Comisión El Mojón,Comisión,El Mojón,866210,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
665,Gobierno local,MULTIPOINT(-63.4742542793115 -29.2309523256893),Comisión Ramírez de Velazco,Comisión,Ramírez de Velazco,866560,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
666,Gobierno local,MULTIPOINT(-64.0587601013975 -27.8268338004395),Municipio Beltrán,Municipio,Beltrán,860175,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
667,Gobierno local,MULTIPOINT(-63.4748371614058 -29.3825568022546),Municipio Sumanpa,Municipio,Sumanpa,860154,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
668,Gobierno local,MULTIPOINT(-64.7549367105607 -27.3056394985639),Comisión Pozuelos,Comisión,Pozuelos,866581,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
669,Gobierno local,MULTIPOINT(-64.7946018409022 -27.3788994514485),Comisión Vinará,Comisión,Vinará,866588,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
670,Gobierno local,MULTIPOINT(-64.5288345720578 -27.5342208179363),Comisión Los Núñez,Comisión,Los Núñez,866217,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
671,Gobierno local,MULTIPOINT(-64.9407712305078 -27.4148013255207),Comisión Colonia Tinco,Comisión,Colonia Tinco,866574,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
672,Gobierno local,MULTIPOINT(-64.8734366983449 -27.5956212464233),Comisión Villa Río Hondo,Comisión,Villa Río Hondo,866224,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
673,Gobierno local,MULTIPOINT(-64.8607132923845 -27.4986349899128),Municipio Termas de Río Hondo,Municipio,Termas de Río Hondo,860161,Municipio,M1,Santiago del Estero,86,BAHRA,IGN
674,Gobierno local,MULTIPOINT(-62.0475324437672 -29.7682479527808),Municipio Selva,Municipio,Selva,860168,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
675,Gobierno local,MULTIPOINT(-62.1033916787829 -30.0600971968281),Comisión Colonia Alpina,Comisión,Colonia Alpina,866231,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
676,Gobierno local,MULTIPOINT(-62.1356230499637 -29.675072184034),Comisión Palo Negro,Comisión,Palo Negro,866238,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
677,Gobierno local,MULTIPOINT(-63.8945883789505 -27.9253152931662),Municipio Fernández,Municipio,Fernández,860182,Municipio,M2,Santiago del Estero,86,BAHRA,IGN
678,Gobierno local,MULTIPOINT(-64.1514887622965 -27.7854252380842),Comisión Vilmer,Comisión,Vilmer,866252,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
679,Gobierno local,MULTIPOINT(-63.8587596656261 -27.7275668038649),Comisión Colonia El Simbolar,Comisión,Colonia El Simbolar,866245,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
680,Gobierno local,MULTIPOINT(-63.9773732944419 -27.8745663639465),Municipio Forres,Municipio,Forres,860189,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
681,Gobierno local,MULTIPOINT(-63.4503997071807 -28.9850752348342),Municipio Los Telares,Municipio,Los Telares,860196,Municipio,M3,Santiago del Estero,86,BAHRA,IGN
682,Gobierno local,MULTIPOINT(-63.4296505741146 -28.8043169228877),Comisión Villa Salavina,Comisión,Villa Salavina,866266,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
683,Gobierno local,MULTIPOINT(-63.5753442511362 -28.7972018366954),Comisión Chilca Juliana,Comisión,Chilca Juliana,866259,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
684,Gobierno local,MULTIPOINT(-63.953337338947 -28.2438527436092),Comisión Brea Pozo,Comisión,Brea Pozo,866273,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
685,Gobierno local,MULTIPOINT(-63.9912324964825 -28.0490800417105),Comisión Estación Robles,Comisión,Estación Robles,866609,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
686,Gobierno local,MULTIPOINT(-63.7444099573536 -28.0084517239678),Comisión Taboada,Comisión,Taboada,866280,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
687,Gobierno local,MULTIPOINT(-63.5388733472271 -28.1529411134416),Comisión Garza,Comisión,Garza,866287,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
688,Gobierno local,MULTIPOINT(-64.1495987416885 -28.1084637432072),Comisión Villa Silípica,Comisión,Villa Silípica,866623,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
689,Gobierno local,MULTIPOINT(-64.223791381467 -28.0512916904591),Comisión Árraga,Comisión,Árraga,866294,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
690,Gobierno local,MULTIPOINT(-64.1999830236975 -28.1737647697283),Comisión Nueva Francia,Comisión,Nueva Francia,866301,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
691,Gobierno local,MULTIPOINT(-63.7944890157555 -25.8320827101489),Comisión Villa Matoque,Comisión,Villa Matoque,866420,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
692,Gobierno local,MULTIPOINT(-64.1836065320158 -31.4168044746468),Municipio Córdoba,Municipio,Córdoba,140077,Municipio,MU,Córdoba,14,BAHRA,IGN
693,Gobierno local,MULTIPOINT(-64.7914515814253 -28.0126134950168),Comisión Guampacha,Comisión,Guampacha,866469,Comisión Municipal,CMA,Santiago del Estero,86,BAHRA,IGN
