alt	name
duas barras do morro	Morro do Chapéu
guine	Mucugê
joão correia	Mucugê
ibiranhem	Mucuri
itabata	Mucuri
taquarinha	Mucuri
varzea do cerco	Mulungu do Morro
ibiapora	Mundo Novo, Bahia
indai	Mundo Novo, Bahia
onha	Muniz Ferreira
argolo	Nova Viçosa
helvecia	Nova Viçosa
posto da mata	Nova Viçosa
brejo luiza de brito	Novo Horizonte, Bahia
remedios	Novo Horizonte, Bahia
caete-acu	Palmeiras
canabravinha	Paramirim
aguas do paulista	Paratinga
conceicao de campinas	Paripiranga
cabralia	Piatã
inubia	Piatã
baluarte	Pilão Arcado
brejo da serra	Pilão Arcado
saldanha	Pilão Arcado
guirapa	Pindaí
carnaiba de baixo	Pindobaçu
várzea grande	Pindobaçu
largo	Piritiba
ibitiguira	Planaltino
nova itaipe	Planaltino
lucaia	Planalto, Bahia
miranga	Pojuca
arraial d`ajuda	Porto Seguro
caraiva	Porto Seguro
trancoso	Porto Seguro
gurupa mirim	Potiraguá
cumuruxatiba	Prado
argoim	Rafael Jambeiro
paraguassu	Rafael Jambeiro
pocos	Remanso
caripare	Riachão das Neves
são josé do rio grande	Riachão das Neves
botuquara	Riacho de Santana, Bahia
arapiranga	Rio de Contas
marcolino moura	Rio de Contas
ibiajara	Rio do Pires
morro das flores	Ruy Barbosa, Bahia
tapiraipe	Ruy Barbosa, Bahia
mare	Salvador
mares	Salvador
paripe	Salvador
periperi	Salvador
piraja	Salvador
plataforma	Salvador
valeria	Salvador
acudina	Santa Maria da Vitória
inhaumas	Santa Maria da Vitória
pereira	Santaluz
boa espera	Santanópolis
acupe	Santo Amaro
campinhos	Santo Amaro
sitio grande	São Desidério
caraipe	São Felipe
outeiro redondo	São Félix
mataripe	São Francisco do Conde
monte reconcavo	São Francisco do Conde
gameleira do jacare	São Gabriel, Bahia
afligidos	São Gonçalo dos Campos
sergi	São Gonçalo dos Campos
itatiaia do alto bonito	São José do Jacuípe
cinco rios	São Sebastião do Passé
lamarao do passe	São Sebastião do Passé
baixa do palmeira	Sapeaçu
bom jesus dos pobres	Saubara
baraunas	Seabra
varzea do caldas	Seabra
mandiroba	Sebastião Laranjeiras
carrapichel	Senhor do Bonfim
igara	Senhor do Bonfim
tijuacu	Senhor do Bonfim
amaniu	Sento Sé
americo alves	Sento Sé
cajui	Sento Sé
minas do mimoso	Sento Sé
picarrao	Sento Sé
piri	Sento Sé
gameleira da lapa	Sítio do Mato
cisterna	Souto Soares
mariquita	Tabocas do Brejo Velho
sussuarana	Tanhaçu
camurugi	Taperoá, Bahia
cachoeira do mato	Teixeira de Freitas
buracica	Teodoro Sampaio, Bahia
lustosa	Teodoro Sampaio, Bahia
jacu	Terra Nova, Bahia
rio fundo	Terra Nova, Bahia
lagoa preta	Tremedal
serra da canabrava	Uauá
baixinha	Ubaíra
engenheiro franca	Ubaíra
faisqueira	Ubaitaba
pirauna	Ubaitaba
hidrolândia	Uibaí
delfino	Umburanas
comandatuba	Una
pedras de una	Una
vila brazil	Una
riachao do utinga	Utinga
guaibim	Valença, Bahia
guerem	Valença, Bahia
maricoabo	Valença, Bahia
taboleiro do castro	Varzedo
cacha pregos	Vera Cruz, Bahia
jiribatuba	Vera Cruz, Bahia
mar grande	Vera Cruz, Bahia
bate-pe	Vitória da Conquista
cabeceira da jiboia	Vitória da Conquista
cercadinho	Vitória da Conquista
dantilandia	Vitória da Conquista
igua	Vitória da Conquista
inhobim	Vitória da Conquista
jose goncalves	Vitória da Conquista
pradoso	Vitória da Conquista
copixaba	Xique-Xique
iguira	Xique-Xique
aranau	Acaraú
juritianha	Acaraú
lagoa do carneiro	Acaraú
barra do inga	Acopiara
ebron	Acopiara
isidoro	Acopiara
quincoe	Acopiara
santa felicia	Acopiara
são paulinho	Acopiara
solido	Acopiara
trussu	Acopiara
castanhao	Alto Santo
aracatiara	Amontada
garcas	Amontada
icarai	Amontada
moitas	Amontada
sabiaguaba	Amontada
vila soares	Apuiarés
caponga da bernarda	Aquiraz
jacauna	Aquiraz
joão de castro	Aquiraz
justiniano de serpa	Aquiraz
patacas	Aquiraz
barreira dos vianas	Aracati
cabreiro	Aracati
corrego dos fernandes	Aracati
jirau	Aracati
mata fresca	Aracati
ideal	Araçoiaba
jenipapeiro	Araçoiaba
lagoa de são joão	Araçoiaba
milton belo	Araçoiaba
pedra branca	Araçoiaba
placido martins	Araçoiaba
vazantes	Araçoiaba
alagoinha	Araripe
amaro	Assaré
aratama	Assaré
ingazeiras	Aurora, Ceará
tipi	Aurora, Ceará
rinare	Banabuiú
sitia	Banabuiú
arajara	Barbalha
corrego	Barreira
cuncas	Barro
iara	Barro
bitupita	Barroquinha
itapeim	Beberibe
parajuru	Beberibe
serra do felix	Beberibe
sucatinga	Beberibe
domingos da costa	Boa Viagem
guia	Boa Viagem
ibuacu	Boa Viagem
jacampari	Boa Viagem
são filipe	Brejo Santo
amarelas	Camocim
guriu	Camocim
barao de aquiraz	Campos Sales
carmelopolis	Campos Sales
itagua	Campos Sales
quixariu	Campos Sales
bonito	Canindé
capitao pedro sampaio	Canindé
iguacu	Canindé
ipueiras dos gomes	Canindé
targinos	Canindé
inhuporanga	Caridade
ararius	Cariré
caipu	Cariús
caponga	Cascavel, Ceará
guanaces	Cascavel, Ceará
jacarecoara	Cascavel, Ceará
pitombeiras	Cascavel, Ceará
video	Catunda
catuana	Caucaia
guararu	Caucaia
jurema	Caucaia
mirambe	Caucaia
sitios novos	Caucaia
tucunduba	Caucaia
candeias	Cedro, Ceará
lagedo	Cedro, Ceará
varzea da conceicao	Cedro, Ceará
barbada	Choró
caicarinha	Choró
cedro	Chorozinho
patos dos liberatos	Chorozinho
timbauba dos marinheiros	Chorozinho
araquem	Coreaú
ibiapaba	Crateús
lagoa das pedras	Crateús
montenebo	Crateús
poti	Crateús
realejo	Crateús
tucuns	Crateús
baixio das palmeiras	Crato
belmonte	Crato
campo alegre	Crato
dom quintino	Crato
ponta da serra	Crato
barra do sotero	Croatá
cariutaba	Farias Brito
quincunca	Farias Brito
antonio bezerra	Fortaleza
barra do ceara	Fortaleza
cidade dos funcionarios	Fortaleza
conjunto ceara	Fortaleza
messejana	Fortaleza
mondubim	Fortaleza
mucuripe	Fortaleza
parangaba	Fortaleza
guajiru	Fortim
maceio	Fortim
ibuguacu	Granja
pessoa anta	Granja
timonha	Granja
itamaraca	Groaíras
agua verde	Guaiúba
ba	Guaiúba
itacima	Guaiúba
ncleo colonial pio xii	Guaiúba
martinslandia	Guaraciaba do Norte
morrinhos novos	Guaraciaba do Norte
sussuanha	Guaraciaba do Norte
varzea dos espinhos	Guaraciaba do Norte
pernambuquinho	Guaramiranga
iraja	Hidrolândia, Ceará
aningas	Horizonte
nova-vida	Ibaretama
piranji	Ibaretama
alto lindo	Ibiapina
santo antonio da pindoba	Ibiapina
acude dos pinheiros	Ibicuitinga
chile	Ibicuitinga
ibicuitaba	Icapuí
manibu	Icapuí
cruzeirinho	Icó
icozinho	Icó
barro alto	Iguatu, Ceará
gadelha	Iguatu, Ceará
jose de alencar	Iguatu, Ceará
riacho vermelho	Iguatu, Ceará
suassurana	Iguatu, Ceará
ematuba	Independência, Ceará
iapi	Independência, Ceará
jandrangoeira	Independência, Ceará
tranqueiras	Independência, Ceará
canauna	Ipaumirim
felizardo	Ipaumirim
america	Ipueiras, Ceará
engenheiro joão tome	Ipueiras, Ceará
gazea	Ipueiras, Ceará
nova fátima	Ipueiras, Ceará
são josé das lontras	Ipueiras, Ceará
ema	Iracema, Ceará
boa vista do caxitore	Irauçuba
missi	Irauçuba
gererau	Itaitinga
aguai	Itapajé
iratinga	Itapajé
itapage	Itapajé
pitombeira	Itapajé
soledade	Itapajé
arapari	Itapipoca
baleia	Itapipoca
barrento	Itapipoca
deserto	Itapipoca
ipu mazagao	Itapipoca
marinheiros	Itapipoca
caio prado	Itapiúna
itans	Itapiúna
palmatoria	Itapiúna
almofala	Itarumã
carvoeiro	Itarumã
morro branco	Itatira
aquinopolis	Jaguaribe
feiticeiro	Jaguaribe
mapua	Jaguaribe
borges	Jaguaruana
giqui	Jaguaruana
são josé do lagamar	Jaguaruana
saquinho	Jaguaruana
jardimirim	Jardim, Ceará
marrocos	Juazeiro do Norte
padre cicero	Juazeiro do Norte
baixio da donana	Jucás
mel	Jucás
poco grande	Jucás
são pedro do norte	Jucás
amaniutuba	Lavras da Mangabeira
arrojado	Lavras da Mangabeira
iborepi	Lavras da Mangabeira
quitaius	Lavras da Mangabeira
bixopa	Limoeiro do Norte
macaoca	Madalena
pajucara	Maracanaú
amanari	Maranguape
antonio marques	Maranguape
itapebussu	Maranguape
jubaia	Maranguape
ladeira grande	Maranguape
lagoa do juvenal	Maranguape
manoel guedes	Maranguape
papara	Maranguape
são joão do amanari	Maranguape
sapupara	Maranguape
tanques	Maranguape
umarizeiras	Maranguape
vertentes do lagedo	Maranguape
panacui	Marco
aiua	Massapê
ipaguacu	Massapê
mumbaba	Massapê
padre linhares	Massapê
tangente	Massapê
tuina	Massapê
camilos	Meruoca
palestina do norte	Meruoca
santo antonio dos fernandes	Meruoca
podimirim	Milagres, Ceará
carnaubinha	Milhã
monte grave	Milhã
açudinho dos costas	Mombaça
carnaubas	Mombaça
manoel correia	Mombaça
são goncalo do umari	Mombaça
aruaru	Morada Nova
boa agua	Morada Nova
juazeiro de baixo	Morada Nova
roldao	Morada Nova
uiraponga	Morada Nova
varzea da volta	Moraújo
sitio alegre	Morrinhos, Ceará
carqueijo	Mucambo
espacinha	Nova Russas
major simplicio	Nova Russas
são raimundo	Novo Oriente
arisco dos marianos	Ocara
curupira	Ocara
sereno de cima	Ocara
serragem	Ocara
guassusse	Orós
igaroi	Orós
monguba	Pacatuba, Ceará
pavuna	Pacatuba, Ceará
senador carlos jereissati	Pacatuba, Ceará
santa ana	Pacoti
gado	Palmácia
gados dos rodrigues	Palmácia
jardim	Paracuru
poco doce	Paracuru
camboas	Paraipaba
cococi	Parambu
monte sion	Parambu
novo assis	Parambu
mineirolandia	Pedra Branca, Ceará
santa cruz do banabuiu	Pedra Branca, Ceará
troia	Pedra Branca, Ceará
santo andré	Penaforte
matias	Pentecoste
porfirio sampaio	Pentecoste
sebastiao de abreu	Pentecoste
crioulos	Pereiro
ibicua	Piquet Carneiro
donato	Pires Ferreira
otaviladia	Pires Ferreira
antonico	Quixelô
belém	Quixeramobim
damiao carneiro	Quixeramobim
lacerda	Quixeramobim
manituba	Quixeramobim
nenelandia	Quixeramobim
uruque	Quixeramobim
tome	Quixeré
antonio diogo	Redenção, Ceará
guassi	Redenção, Ceará
são gerardo	Redenção, Ceará
amanaiara	Reriutaba
campo lindo	Reriutaba
bonhu	Russas
são joão de deus	Russas
felipe	Saboeiro
flamengo	Saboeiro
lagoa dos crioulos	Salitre
lisieux	Santa Quitéria
macarau	Santa Quitéria
raimundo martins	Santa Quitéria
bahia	Santana do Acaraú
baixa fria	Santana do Acaraú
joão cordeiro	Santana do Acaraú
mutambeiras	Santana do Acaraú
parapui	Santana do Acaraú
sapo	Santana do Acaraú
anjinhos	Santana do Cariri
araporanga	Santana do Cariri
dom leme	Santana do Cariri
pontal da santa cruz	Santana do Cariri
inhucu	São Benedito
pecem	São Gonçalo do Amarante, Ceará
serrote	São Gonçalo do Amarante, Ceará
siupe	São Gonçalo do Amarante, Ceará
taiba	São Gonçalo do Amarante, Ceará
umarituba	São Gonçalo do Amarante, Ceará
codia	Senador Pompeu
engenheiro jose lopes	Senador Pompeu
são joaquim do salgado	Senador Pompeu
salao	Senador Sá
aprazivel	Sobral
aracatiacu	Sobral
caioca	Sobral
caracara	Sobral
jaibaras	Sobral
patriarca	Sobral
rafael arruda	Sobral
são josé do torto	Sobral
taperuaba	Sobral
pasta	Solonópole
prefeita suely pinheiro	Solonópole
são josé de solonopole	Solonópole
olho-d'agua da bica	Tabuleiro do Norte
peixe gordo	Tabuleiro do Norte
carvalho	Tamboril
curatis	Tamboril
holanda	Tamboril
oliveiras	Tamboril
sucesso	Tamboril
carrapateiras	Tauá
inhamuns	Tauá
marrecas	Tauá
marruas	Tauá
trici	Tauá
arapa	Tianguá
caruatai	Tianguá
pindoguaba	Tianguá
tabainha	Tianguá
canaan	Trairi
fleicheiras	Trairi
gualdrapas	Trairi
mundau	Trairi
cemoaba	Tururu
araticum	Ubajara
jaburuna	Ubajara
itacolomy	Uruburetama
paracua	Uruoca
calabaca	Várzea Alegre
ibicatu	Várzea Alegre
naraniu	Várzea Alegre
riacho verde	Várzea Alegre
general tiburcio	Viçosa do Ceará
lambedouro	Viçosa do Ceará
manhoso	Viçosa do Ceará
padre vieira	Viçosa do Ceará
passagem da onca	Viçosa do Ceará
quatiguaba	Viçosa do Ceará
brazilia	Brasília
brazlandia	Brasília
candangolandia	Brasília
ceilandia	Brasília
lago norte	Brasília
lago sul	Brasília
nucleo bandeirante	Brasília
paranoa	Brasília
recanto das emas	Brasília
riacho fundo	Brasília
sobradinho	Brasília
fazenda guandu	Afonso Cláudio
ibicaba	Afonso Cláudio
pontoes	Afonso Cláudio
são francisco xavier do guandu	Afonso Cláudio
serra pelada	Afonso Cláudio
governador lacerda de aguiar	Água Doce do Norte
santa luzia do azul	Água Doce do Norte
santo agostinho	Água Doce do Norte
vila nelita	Água Doce do Norte
anutiba	Alegre
ararai	Alegre
cafe	Alegre
celina	Alegre
rive	Alegre
santa angelica	Alegre
são joão do norte	Alegre
crubixa	Alfredo Chaves
ibitirui	Alfredo Chaves
matilde	Alfredo Chaves
ribeirao do cristo	Alfredo Chaves
monte carmelo do rio novo	Alto Rio Novo
palmerino	Alto Rio Novo
alto pongal	Anchieta, Espírito Santo
jabaquara	Anchieta, Espírito Santo
bonsucesso	Apiacá
jose carlos	Apiacá
guarana	Aracruz
jacupemba	Aracruz
riacho	Aracruz
alto mutum preto	Baixo Guandu
ibituba	Baixo Guandu
quilometro 14 do mutum	Baixo Guandu
vila nova de bananal	Baixo Guandu
cachoeirinha de itauna	Barra de São Francisco
paulista	Barra de São Francisco
santo antonio do pousalegre	Boa Esperança, Espírito Santo
são josé do sobradinho	Boa Esperança, Espírito Santo
são jorge de oliveira	Brejetuba
burarama	Cachoeiro de Itapemirim
conduru	Cachoeiro de Itapemirim
itaóca	Cachoeiro de Itapemirim
pacotuba	Cachoeiro de Itapemirim
vargem grande do soturno	Cachoeiro de Itapemirim
itaquari	Cariacica
aracui	Castelo
estrela do norte	Castelo
monte pio	Castelo
patrimnio do ouro	Castelo
angelo frechiani	Colatina
baunilha	Colatina
boapaba	Colatina
itapina	Colatina
novo brazil	Colatina
braço do rio	Conceição da Barra
itaunas	Conceição da Barra
arace	Domingos Martins
isabel	Domingos Martins
paraju	Domingos Martins
são raimundo da pedra menina	Dores do Rio Preto
cotaxe	Ecoporanga
imburana	Ecoporanga
joacuba	Ecoporanga
irundi	Fundão
praia grande	Fundão
timbui	Fundão
são pedro de rates	Guaçuí
rio calcado	Guarapari
todos os santos	Guarapari
pendanga	Ibiraçu
santa marta	Ibitirama
santa cruz de irupi	Irupi
itacu	Itaguaçu
itaimbe	Itaguaçu
itapecoa	Itapemirim
rio muqui	Itapemirim
pequia	Iúna
perdicao	Iúna
santissima trindade	Iúna
são joão do principe	Iúna
nossa senhora de ftima	Jaguaré
acioli	João Neiva
joatuba	Laranja da Terra
são luiz de miranda	Laranja da Terra
sobreiro	Laranja da Terra
desengano	Linhares
regencia	Linhares
santa luzia de mantenopolis	Mantenópolis
são josé de mantenopolis	Mantenópolis
araguaia	Marechal Floriano
santa maria de marechal	Marechal Floriano
conceicao do muqui	Mimoso do Sul
dona america	Mimoso do Sul
ponte de itabapoana	Mimoso do Sul
santo antonio do muqui	Mimoso do Sul
são josé das torres	Mimoso do Sul
são pedro de itabapoana	Mimoso do Sul
vinhatico	Montanha
itabaiana	Mucurici
itaici	Muniz Freire
menino jesus	Muniz Freire
piacu	Muniz Freire
vieira machado	Muniz Freire
santo antonio do quinze	Nova Venécia
vila verde	Pancas
cristal do norte	Pedro Canário
são joão do sobrado	Pinheiros
agha	Piúma
são jorge de tiradentes	Rio Bananal
djalma coutinho	Santa Leopoldina
mangarai	Santa Leopoldina
garrafao	Santa Maria de Jetibá
alto caldeirao	Santa Teresa
alto santa maria	Santa Teresa
santo antonio do canaa	Santa Teresa
são joão de petropolis	Santa Teresa
vinte e cinco de julho	Santa Teresa
airituba	São José do Calçado
alto calcado	São José do Calçado
itauninhas	São Mateus
nestor gomes	São Mateus
nova verona	São Mateus
santa julia	São Roque do Canaã
são jacinto	São Roque do Canaã
calogi	Serra
carapina	Serra
nova almeida	Serra
queimado	Serra
